scenario,instrument,trades,win_rate,total_pnl,avg_risk,max_loss,max_win
A,AUD_USD,73,94.5,594224.9,5142.49,-2615.63,81164.49
A,DE30_EUR,72,79.2,2828587.15,4660.9,-28310.67,2202766.92
A,EUR_USD,66,87.9,2301965.23,4946.6,-9894.16,1099621.9
A,GBP_USD,74,85.1,669203.86,4651.72,-7417.26,123725.69
A,NAS100_USD,74,87.8,804501.8,5155.3,-12675.63,186645.7
A,SPX500_USD,69,91.3,1963071.86,4911.71,-12662.94,1102915.31
A,USD_CHF,79,88.6,2866489.29,5014.42,-27925.81,1529908.41
A,USD_JPY,80,87.5,3367959.33,4813.85,-18079.63,1625634.05
B,AUD_USD,73,94.5,203689.06,1742.49,-1084.1,23677.05
B,DE30_EUR,72,79.2,15199.89,1619.51,-277.07,808.55
B,EUR_USD,66,87.9,830353.38,1715.41,-3629.93,449580.24
B,GBP_USD,74,85.1,248632.31,1635.26,-2918.51,28833.3
B,NAS100_USD,74,87.8,20291.84,1766.88,-214.49,981.72
B,SPX500_USD,69,91.3,10198.79,1716.07,-98.52,528.91
B,USD_CHF,79,88.6,1149740.05,1742.64,-6716.43,628822.7
B,USD_JPY,80,87.5,1067298.9,1726.99,-5513.94,392838.09
C,AUD_USD,73,94.5,946559.19,8191.85,-4172.91,129502.24
C,DE30_EUR,72,79.2,4512380.67,7426.1,-45170.79,3514665.38
C,EUR_USD,66,87.9,3671137.25,7883.01,-15785.9,1754488.34
C,GBP_USD,74,85.1,1063315.42,7410.21,-11834.47,197410.88
C,NAS100_USD,74,87.8,1281990.0,8214.82,-20250.09,297899.22
C,SPX500_USD,69,91.3,3128430.98,7825.37,-20203.15,1759674.84
C,USD_CHF,79,88.6,4570673.11,7988.19,-44556.76,2441056.26
C,USD_JPY,80,87.5,5370445.27,7672.13,-28846.07,2593765.15
D,AUD_USD,73,94.5,304234.55,2614.72,-1636.85,35679.49
D,DE30_EUR,72,79.2,15199.89,2429.89,-277.07,808.55
D,EUR_USD,66,87.9,1250867.77,2575.77,-5470.23,678101.49
D,GBP_USD,74,85.1,372822.71,2454.77,-4401.3,43422.86
D,NAS100_USD,74,87.8,20291.84,2651.94,-214.49,981.72
D,SPX500_USD,69,91.3,10198.79,2575.72,-98.52,528.91
D,USD_CHF,79,88.6,1733528.0,2617.62,-10115.89,948597.58
D,USD_JPY,80,87.5,1607459.1,2589.55,-8307.17,591704.52
