date,pnl
2026-01-05,3051.4419
2026-01-06,2093.7035
2026-01-07,8594.4108
2026-01-08,3272.0176
2026-01-09,1995.6711
2026-01-12,5464.6761
2026-01-13,7884.6316
2026-01-14,8403.6799
2026-01-15,2671.4115
2026-01-16,12763.6938
2026-01-18,285.181
2026-01-19,738.454
2026-01-20,779.4659
2026-01-21,3503.9222
2026-01-22,2480.3887
2026-01-23,2914.403
2026-01-26,21020.7077
2026-01-27,2749.997
2026-01-28,2817.1665
2026-01-29,2975.2823
2026-01-30,6839.0147
2026-02-02,8542.2913
2026-02-03,40704.942
2026-02-04,22117.337
2026-02-05,30875.3956
2026-02-06,91789.1492
2026-02-09,27410.3865
2026-02-10,9125.5039
2026-02-11,23540.292
2026-02-12,25508.5347
2026-02-13,11196.091
2026-02-16,5530.7976
2026-02-17,29315.8637
2026-02-18,19289.8515
2026-02-19,70425.9086
2026-02-20,8772.5883
2026-02-22,2058.2249
2026-02-23,12594.9767
2026-02-24,35224.706
2026-02-25,29479.8927
2026-02-26,136815.5243
2026-02-27,26988.0841
2026-03-01,1648.4317
2026-03-02,28995.2799
2026-03-03,54418.113
2026-03-04,29210.7473
2026-03-05,47308.8334
2026-03-06,82510.2859
2026-03-08,-2124.8448
2026-03-09,48418.239
2026-03-10,34148.392
2026-03-11,34680.2279
2026-03-12,171919.2737
2026-03-13,102227.0291
2026-03-16,47778.8726
2026-03-17,88901.1401
2026-03-18,23582.6241
2026-03-19,23697.7864
2026-03-20,44687.8153
2026-03-23,19832.8664
2026-03-24,35399.8891
2026-03-25,38343.0142
2026-03-26,1871235.757
2026-03-27,1303798.6864
2026-03-30,310871.8494
2026-03-31,103475.8448
2026-04-01,295273.335
2026-04-02,89707.5396
2026-04-03,608899.7912
2026-04-05,-24400.0404
2026-04-06,-10603.6093
2026-04-07,1213513.0836
2026-04-08,517499.4418
2026-04-09,543057.1867
2026-04-10,287524.937
2026-04-12,-35859.1727
2026-04-13,676410.4336
2026-04-14,2660189.9737
2026-04-15,1814939.4021
2026-04-16,356196.3575
2026-04-17,522375.5783
2026-04-20,565707.3622
