instrument,entry_time,exit_time,direction,entry_price,exit_price,sl_price,units,risk_gbp,pnl,exit_reason,equity_after
GBP_USD,2026-01-05 03:00:00+00:00,2026-01-05 13:00:00+00:00,LONG,1.34158,1.34271,1.34271,132743,150.0,117.1872,TRAIL_SL,50117.1872
USD_JPY,2026-01-05 03:00:00+00:00,2026-01-05 08:00:00+00:00,SHORT,157.234,156.833,157.16764,455993,150.3516,910.8673,EXIT_MODEL,51028.0545
AUD_USD,2026-01-05 04:00:00+00:00,2026-01-05 16:00:00+00:00,LONG,0.66716,0.67172,0.66973,59566,153.0842,212.2039,EXIT_MODEL,51240.2584
DE30_EUR,2026-01-05 06:00:00+00:00,2026-01-05 08:00:00+00:00,LONG,24683.2,24696.2665,24696.2665,14,153.7208,156.3513,TRAIL_SL,51396.6097
USD_CHF,2026-01-05 09:00:00+00:00,2026-01-05 18:00:00+00:00,SHORT,0.7964,0.79168,0.79471,93006,154.1898,433.2049,EXIT_MODEL,51829.8146
SPX500_USD,2026-01-05 12:00:00+00:00,2026-01-05 16:00:00+00:00,LONG,6885.4,6924.2,6893.95889,23,155.4894,697.1875,EXIT_MODEL,52527.0021
EUR_USD,2026-01-05 13:00:00+00:00,2026-01-05 18:00:00+00:00,LONG,1.16746,1.17251,1.16895,105759,157.581,417.2523,EXIT_MODEL,52944.2544
NAS100_USD,2026-01-05 15:00:00+00:00,2026-01-05 20:00:00+00:00,SHORT,25503.0,25434.4,25604.9035,2,158.8328,107.1875,EOD,53051.4419
AUD_USD,2026-01-06 00:00:00+00:00,2026-01-06 06:00:00+00:00,LONG,0.67102,0.67368,0.67206,153033,159.1543,318.0217,EXIT_MODEL,53369.4636
USD_CHF,2026-01-06 02:00:00+00:00,2026-01-06 15:00:00+00:00,LONG,0.7908,0.79486,0.79203,131761,160.1084,525.79,EXIT_MODEL,53895.2536
GBP_USD,2026-01-06 03:00:00+00:00,2026-01-06 15:00:00+00:00,SHORT,1.3559,1.35077,1.35434,103645,161.6858,415.3897,EXIT_MODEL,54310.6433
EUR_USD,2026-01-06 06:00:00+00:00,2026-01-06 15:00:00+00:00,SHORT,1.17362,1.16953,1.17251,146786,162.9319,469.0271,EXIT_MODEL,54779.6704
DE30_EUR,2026-01-06 08:00:00+00:00,2026-01-06 15:00:00+00:00,LONG,24901.5,24914.0,24829.07172,3,164.339,32.0513,EOD,54811.7217
NAS100_USD,2026-01-06 10:00:00+00:00,2026-01-06 14:00:00+00:00,LONG,25439.6,25452.33374,25452.33374,17,164.4352,169.12,TRAIL_SL,54980.8417
SPX500_USD,2026-01-06 11:00:00+00:00,2026-01-06 14:00:00+00:00,LONG,6905.6,6909.7237,6909.7237,51,164.9425,164.3037,TRAIL_SL,55145.1454
AUD_USD,2026-01-07 00:00:00+00:00,2026-01-07 04:00:00+00:00,LONG,0.67345,0.67599,0.67419,223561,165.4354,443.6289,EXIT_MODEL,55588.7743
USD_JPY,2026-01-07 01:00:00+00:00,2026-01-07 05:00:00+00:00,SHORT,156.72,156.387,156.70729,2632069,166.7663,4378.5558,EXIT_MODEL,59967.3301
GBP_USD,2026-01-07 02:00:00+00:00,2026-01-08 01:00:00+00:00,SHORT,1.35104,1.34558,1.34875,78560,179.902,335.1075,EXIT_MODEL,60302.4376
USD_CHF,2026-01-07 03:00:00+00:00,2026-01-07 18:00:00+00:00,LONG,0.79486,0.7976,0.79517,593738,180.9073,1593.4935,EXIT_MODEL,61895.9311
EUR_USD,2026-01-07 03:00:00+00:00,2026-01-08 03:00:00+00:00,SHORT,1.16986,1.168,1.17134,125465,185.6878,182.3163,MAX_BARS,62078.2474
DE30_EUR,2026-01-07 04:00:00+00:00,2026-01-07 13:00:00+00:00,LONG,25002.0,25118.0,25018.3663,13,186.2347,1288.8889,EXIT_MODEL,63367.1363
NAS100_USD,2026-01-07 09:00:00+00:00,2026-01-07 16:00:00+00:00,LONG,25602.0,25820.5,25701.40897,2,190.1014,341.4062,EXIT_MODEL,63708.5425
SPX500_USD,2026-01-07 16:00:00+00:00,2026-01-07 20:00:00+00:00,SHORT,6968.6,6929.6,6955.294,18,191.1256,548.4375,EOD,64256.98
AUD_USD,2026-01-08 00:00:00+00:00,2026-01-08 14:00:00+00:00,SHORT,0.672,0.66904,0.6706,137694,192.7709,318.4174,EXIT_MODEL,64575.3974
GBP_USD,2026-01-08 03:00:00+00:00,2026-01-08 13:00:00+00:00,SHORT,1.34636,1.34234,1.34496,138376,193.7262,434.5871,EXIT_MODEL,65009.9845
USD_CHF,2026-01-08 03:00:00+00:00,2026-01-08 18:00:00+00:00,LONG,0.79726,0.79987,0.79776,398053,195.03,1014.7336,EXIT_MODEL,66024.7181
DE30_EUR,2026-01-08 04:00:00+00:00,2026-01-08 06:00:00+00:00,LONG,25125.6,25062.51012,25062.51012,4,198.0742,-198.0742,SL,65826.6439
EUR_USD,2026-01-08 04:00:00+00:00,2026-01-08 17:00:00+00:00,SHORT,1.16804,1.16508,1.16729,263307,197.4799,608.8974,EXIT_MODEL,66435.5413
USD_JPY,2026-01-08 07:00:00+00:00,2026-01-08 13:00:00+00:00,LONG,156.47,156.67536,156.67536,194378,199.3066,199.0455,TRAIL_SL,66634.5868
NAS100_USD,2026-01-08 09:00:00+00:00,2026-01-08 14:00:00+00:00,SHORT,25620.0,25610.93059,25610.93059,28,199.9038,198.3933,TRAIL_SL,66832.9801
SPX500_USD,2026-01-08 11:00:00+00:00,2026-01-08 20:00:00+00:00,LONG,6915.6,6928.3,6901.32008,18,200.4989,178.5937,EOD,67011.5738
DE30_EUR,2026-01-09 03:00:00+00:00,2026-01-09 13:00:00+00:00,LONG,25180.8,25313.2,25203.77217,10,201.0347,1131.6239,EXIT_MODEL,68143.1977
AUD_USD,2026-01-09 04:00:00+00:00,2026-01-09 12:00:00+00:00,SHORT,0.6697,0.66758,0.66901,296275,204.4296,490.7055,EXIT_MODEL,68633.9032
USD_CHF,2026-01-09 07:00:00+00:00,2026-01-09 13:00:00+00:00,LONG,0.79962,0.79867,0.79867,221835,205.9017,-205.9017,SL,68428.0015
SPX500_USD,2026-01-09 07:00:00+00:00,2026-01-09 16:00:00+00:00,LONG,6928.2,6971.6,6943.50406,17,205.284,576.4063,EXIT_MODEL,69004.4078
EUR_USD,2026-01-09 07:00:00+00:00,2026-01-09 20:00:00+00:00,SHORT,1.16508,1.16347,1.16624,178460,207.0132,224.4692,FRIDAY_CLOSE,69228.877
NAS100_USD,2026-01-09 10:00:00+00:00,2026-01-09 14:00:00+00:00,LONG,25581.6,25506.96662,25506.96662,4,207.6866,-207.6866,SL,69021.1904
GBP_USD,2026-01-09 10:00:00+00:00,2026-01-09 20:00:00+00:00,LONG,1.34084,1.34069,1.3391,119002,207.0636,-13.9455,FRIDAY_CLOSE,69007.2449
AUD_USD,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,SHORT,0.66874,0.67009,0.67009,153349,207.0217,-161.7353,SL,68845.5096
USD_JPY,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,SHORT,158.064,157.9472,157.9472,357764,206.5365,206.6891,TRAIL_SL,69052.1987
GBP_USD,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,LONG,1.33944,1.33988,1.33988,470810,207.1566,161.8409,TRAIL_SL,69214.0396
EUR_USD,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,LONG,1.16332,1.16356,1.16356,865175,207.6421,162.2203,TRAIL_SL,69376.2599
USD_CHF,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,SHORT,0.8012,0.79995,0.79995,170755,208.1288,208.4542,TRAIL_SL,69584.7141
USD_JPY,2026-01-12 00:00:00+00:00,2026-01-12 02:00:00+00:00,LONG,157.576,158.051,157.61085,1208182,208.7541,2836.7349,EXIT_MODEL,72421.449
AUD_USD,2026-01-12 02:00:00+00:00,2026-01-12 15:00:00+00:00,LONG,0.66952,0.67198,0.6701,374594,217.2643,719.9228,EXIT_MODEL,73141.3718
DE30_EUR,2026-01-12 03:00:00+00:00,2026-01-12 12:00:00+00:00,LONG,25265.2,25446.2,25341.49287,3,219.4241,464.1026,EXIT_MODEL,73605.4744
USD_CHF,2026-01-12 08:00:00+00:00,2026-01-13 08:00:00+00:00,LONG,0.79594,0.7976,0.79433,139732,220.8164,227.2003,MAX_BARS,73832.6747
