date,pnl
2026-01-05,2365.2606
2026-01-06,1763.242
2026-01-07,6989.4405
2026-01-08,2935.0394
2026-01-09,745.3242
2026-01-12,4649.8872
2026-01-13,1762.7986
2026-01-14,5718.9825
2026-01-15,1964.9642
2026-01-16,6577.3788
2026-01-18,344.1627
2026-01-19,888.6664
2026-01-20,1010.3213
2026-01-21,4193.5533
2026-01-22,2942.2808
2026-01-23,2684.4546
2026-01-26,16072.8179
2026-01-27,2050.6151
2026-01-28,1203.958
2026-01-29,2160.0934
2026-01-30,5660.0233
2026-02-02,6149.5887
2026-02-03,31315.4247
2026-02-04,9609.7433
2026-02-05,20554.0738
2026-02-06,63840.0901
2026-02-09,7616.0928
2026-02-10,4999.5452
2026-02-11,3547.0015
2026-02-12,15255.4855
2026-02-13,7372.208
2026-02-16,2818.5845
2026-02-17,19751.9356
2026-02-18,9900.213
2026-02-19,21548.4613
2026-02-20,4865.4095
2026-02-22,1261.1705
2026-02-23,4464.6121
2026-02-24,6024.1401
2026-02-25,13135.461
2026-02-26,74701.2413
2026-02-27,15035.5035
2026-03-01,941.0202
2026-03-02,6888.0482
2026-03-03,22027.0402
2026-03-04,3723.4433
2026-03-05,21446.0828
2026-03-06,36212.5509
2026-03-08,-1116.9837
2026-03-09,19893.6494
2026-03-10,6418.554
2026-03-11,8881.7577
2026-03-12,9815.8226
2026-03-13,24088.9265
2026-03-16,18821.7154
2026-03-17,28160.1504
2026-03-18,6378.3474
2026-03-19,6817.1166
2026-03-20,9547.6735
2026-03-23,5187.9661
2026-03-24,11698.3381
2026-03-25,11200.5286
2026-03-26,692787.0057
2026-03-27,501272.8211
2026-03-30,90110.3274
2026-03-31,18128.2434
2026-04-01,48743.7654
2026-04-02,25031.3805
2026-04-03,222876.0029
2026-04-05,-253.1054
2026-04-06,-1063.3112
2026-04-07,33891.1951
2026-04-08,150375.3269
2026-04-09,120162.7153
2026-04-10,82532.0211
2026-04-12,-10936.3701
2026-04-13,165623.4367
2026-04-14,80201.2203
2026-04-15,404199.342
2026-04-16,37165.6639
2026-04-17,81407.245
2026-04-20,127668.3029
