instrument,entry_time,exit_time,direction,entry_price,exit_price,sl_price,units,risk_gbp,pnl,exit_reason,equity_after
GBP_USD,2026-01-05 03:00:00+00:00,2026-01-05 13:00:00+00:00,LONG,1.34158,1.34271,1.34271,132743,150.0,117.1872,TRAIL_SL,50117.1872
USD_JPY,2026-01-05 03:00:00+00:00,2026-01-05 08:00:00+00:00,SHORT,157.234,156.833,157.16764,455993,150.3516,910.8673,EXIT_MODEL,51028.0545
AUD_USD,2026-01-05 04:00:00+00:00,2026-01-05 16:00:00+00:00,LONG,0.66716,0.67172,0.66973,59566,153.0842,212.2039,EXIT_MODEL,51240.2584
DE30_EUR,2026-01-05 06:00:00+00:00,2026-01-05 08:00:00+00:00,LONG,24683.2,24696.2665,24696.2665,2,153.7208,22.3359,TRAIL_SL,51262.5943
USD_CHF,2026-01-05 09:00:00+00:00,2026-01-05 18:00:00+00:00,SHORT,0.7964,0.79168,0.79471,92763,153.7878,432.073,EXIT_MODEL,51694.6673
SPX500_USD,2026-01-05 12:00:00+00:00,2026-01-05 16:00:00+00:00,LONG,6885.4,6924.2,6893.95889,5,155.084,151.5625,EXIT_MODEL,51846.2298
EUR_USD,2026-01-05 13:00:00+00:00,2026-01-05 18:00:00+00:00,LONG,1.16746,1.17251,1.16895,104388,155.5387,411.8433,EXIT_MODEL,52258.0731
NAS100_USD,2026-01-05 15:00:00+00:00,2026-01-05 20:00:00+00:00,SHORT,25503.0,25434.4,25604.9035,2,156.7742,107.1875,EOD,52365.2606
AUD_USD,2026-01-06 00:00:00+00:00,2026-01-06 06:00:00+00:00,LONG,0.67102,0.67368,0.67206,151054,157.0958,313.9091,EXIT_MODEL,52679.1697
USD_CHF,2026-01-06 02:00:00+00:00,2026-01-06 15:00:00+00:00,LONG,0.7908,0.79486,0.79203,130056,158.0375,518.9862,EXIT_MODEL,53198.1559
GBP_USD,2026-01-06 03:00:00+00:00,2026-01-06 15:00:00+00:00,SHORT,1.3559,1.35077,1.35434,102304,159.5945,410.0153,EXIT_MODEL,53608.1712
EUR_USD,2026-01-06 06:00:00+00:00,2026-01-06 15:00:00+00:00,SHORT,1.17362,1.16953,1.17251,144887,160.8245,462.9592,EXIT_MODEL,54071.1304
DE30_EUR,2026-01-06 08:00:00+00:00,2026-01-06 15:00:00+00:00,LONG,24901.5,24914.0,24829.07172,2,162.2134,21.3675,EOD,54092.4979
NAS100_USD,2026-01-06 10:00:00+00:00,2026-01-06 14:00:00+00:00,LONG,25439.6,25452.33374,25452.33374,2,162.2775,19.8965,TRAIL_SL,54112.3944
SPX500_USD,2026-01-06 11:00:00+00:00,2026-01-06 14:00:00+00:00,LONG,6905.6,6909.7237,6909.7237,5,162.3372,16.1082,TRAIL_SL,54128.5026
AUD_USD,2026-01-07 00:00:00+00:00,2026-01-07 04:00:00+00:00,LONG,0.67345,0.67599,0.67419,219440,162.3855,435.4512,EXIT_MODEL,54563.9538
USD_JPY,2026-01-07 01:00:00+00:00,2026-01-07 05:00:00+00:00,SHORT,156.72,156.387,156.70729,2583544,163.6919,4297.8324,EXIT_MODEL,58861.7862
GBP_USD,2026-01-07 02:00:00+00:00,2026-01-08 01:00:00+00:00,SHORT,1.35104,1.34558,1.34875,77112,176.5854,328.9309,EXIT_MODEL,59190.7171
USD_CHF,2026-01-07 03:00:00+00:00,2026-01-07 18:00:00+00:00,LONG,0.79486,0.7976,0.79517,582792,177.5722,1564.1163,EXIT_MODEL,60754.8334
EUR_USD,2026-01-07 03:00:00+00:00,2026-01-08 03:00:00+00:00,SHORT,1.16986,1.168,1.17134,123152,182.2645,178.9552,MAX_BARS,60933.7886
DE30_EUR,2026-01-07 04:00:00+00:00,2026-01-07 13:00:00+00:00,LONG,25002.0,25118.0,25018.3663,2,182.8014,198.2906,EXIT_MODEL,61132.0792
NAS100_USD,2026-01-07 09:00:00+00:00,2026-01-07 16:00:00+00:00,LONG,25602.0,25820.5,25701.40897,2,183.3962,341.4062,EXIT_MODEL,61473.4854
SPX500_USD,2026-01-07 16:00:00+00:00,2026-01-07 20:00:00+00:00,SHORT,6968.6,6929.6,6955.294,5,184.4205,152.3438,EOD,61625.8292
AUD_USD,2026-01-08 00:00:00+00:00,2026-01-08 14:00:00+00:00,SHORT,0.672,0.66904,0.6706,132055,184.8775,305.3772,EXIT_MODEL,61931.2064
GBP_USD,2026-01-08 03:00:00+00:00,2026-01-08 13:00:00+00:00,SHORT,1.34636,1.34234,1.34496,132710,185.7936,416.7923,EXIT_MODEL,62347.9987
USD_CHF,2026-01-08 03:00:00+00:00,2026-01-08 18:00:00+00:00,LONG,0.79726,0.79987,0.79776,381754,187.044,973.1835,EXIT_MODEL,63321.1822
DE30_EUR,2026-01-08 04:00:00+00:00,2026-01-08 06:00:00+00:00,LONG,25125.6,25062.51012,25062.51012,2,189.9635,-107.8459,SL,63213.3363
EUR_USD,2026-01-08 04:00:00+00:00,2026-01-08 17:00:00+00:00,SHORT,1.16804,1.16508,1.16729,252853,189.64,584.7226,EXIT_MODEL,63798.0589
USD_JPY,2026-01-08 07:00:00+00:00,2026-01-08 13:00:00+00:00,LONG,156.47,156.67536,156.67536,186661,191.3942,191.1432,TRAIL_SL,63989.2021
NAS100_USD,2026-01-08 09:00:00+00:00,2026-01-08 14:00:00+00:00,SHORT,25620.0,25610.93059,25610.93059,2,191.9676,14.171,TRAIL_SL,64003.3731
SPX500_USD,2026-01-08 11:00:00+00:00,2026-01-08 20:00:00+00:00,LONG,6915.6,6928.3,6901.32008,5,192.0101,49.6094,EOD,64052.9825
DE30_EUR,2026-01-09 03:00:00+00:00,2026-01-09 13:00:00+00:00,LONG,25180.8,25313.2,25203.77217,2,192.1589,226.3248,EXIT_MODEL,64279.3073
AUD_USD,2026-01-09 04:00:00+00:00,2026-01-09 12:00:00+00:00,SHORT,0.6697,0.66758,0.66901,279475,192.8379,462.8805,EXIT_MODEL,64742.1878
USD_CHF,2026-01-09 07:00:00+00:00,2026-01-09 13:00:00+00:00,LONG,0.79962,0.79867,0.79867,209256,194.2266,-194.2266,SL,64547.9612
SPX500_USD,2026-01-09 07:00:00+00:00,2026-01-09 16:00:00+00:00,LONG,6928.2,6971.6,6943.50406,5,193.6439,169.5313,EXIT_MODEL,64717.4925
EUR_USD,2026-01-09 07:00:00+00:00,2026-01-09 20:00:00+00:00,SHORT,1.16508,1.16347,1.16624,167373,194.1525,210.5239,FRIDAY_CLOSE,64928.0164
NAS100_USD,2026-01-09 10:00:00+00:00,2026-01-09 14:00:00+00:00,LONG,25581.6,25506.96662,25506.96662,2,194.784,-116.6147,SL,64811.4017
GBP_USD,2026-01-09 10:00:00+00:00,2026-01-09 20:00:00+00:00,LONG,1.34084,1.34069,1.3391,111744,194.4342,-13.095,FRIDAY_CLOSE,64798.3067
AUD_USD,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,SHORT,0.66874,0.67009,0.67009,143996,194.3949,-151.8708,SL,64646.4359
USD_JPY,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,SHORT,158.064,157.9472,157.9472,335943,193.9393,194.0826,TRAIL_SL,64840.5185
GBP_USD,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,LONG,1.33944,1.33988,1.33988,442094,194.5216,151.9698,TRAIL_SL,64992.4883
EUR_USD,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,LONG,1.16332,1.16356,1.16356,812406,194.9775,152.3261,TRAIL_SL,65144.8144
USD_CHF,2026-01-11 22:00:00+00:00,2026-01-12 00:00:00+00:00,SHORT,0.8012,0.79995,0.79995,160340,195.4344,195.7398,TRAIL_SL,65340.5542
USD_JPY,2026-01-12 00:00:00+00:00,2026-01-12 02:00:00+00:00,LONG,157.576,158.051,157.61085,1134492,196.0217,2663.7155,EXIT_MODEL,68004.2697
AUD_USD,2026-01-12 02:00:00+00:00,2026-01-12 15:00:00+00:00,LONG,0.66952,0.67198,0.6701,351746,204.0128,676.0118,EXIT_MODEL,68680.2815
DE30_EUR,2026-01-12 03:00:00+00:00,2026-01-12 12:00:00+00:00,LONG,25265.2,25446.2,25341.49287,2,206.0408,309.4017,EXIT_MODEL,68989.6832
USD_CHF,2026-01-12 08:00:00+00:00,2026-01-13 08:00:00+00:00,LONG,0.79594,0.7976,0.79433,130969,206.969,212.9519,MAX_BARS,69202.6351
