date,pnl
2026-01-05,4072.0199
2026-01-06,2704.8144
2026-01-07,11105.9455
2026-01-08,4044.3222
2026-01-09,2433.7521
2026-01-12,6684.1404
2026-01-13,9169.8742
2026-01-14,9419.9999
2026-01-15,3038.4027
2026-01-16,16952.1708
2026-01-18,455.5186
2026-01-19,1174.4508
2026-01-20,1295.0506
2026-01-21,5626.9064
2026-01-22,3944.0931
2026-01-23,4789.4803
2026-01-26,33551.3397
2026-01-27,4398.7856
2026-01-28,4591.9241
2026-01-29,4681.8685
2026-01-30,11054.0383
2026-02-02,13237.1436
2026-02-03,64934.454
2026-02-04,35294.3989
2026-02-05,49101.6126
2026-02-06,146618.5209
2026-02-09,43625.9522
2026-02-10,14466.595
2026-02-11,37468.9415
2026-02-12,40742.662
2026-02-13,17840.8503
2026-02-16,8816.6871
2026-02-17,46702.1022
2026-02-18,30798.5886
2026-02-19,112378.3457
2026-02-20,14105.4472
2026-02-22,3283.9294
2026-02-23,20185.9929
2026-02-24,56305.1566
2026-02-25,47054.9879
2026-02-26,218417.1743
2026-02-27,43032.7707
2026-03-01,2630.7252
2026-03-02,46189.3576
2026-03-03,86575.1636
2026-03-04,46508.1581
2026-03-05,75551.5991
2026-03-06,131673.2782
2026-03-08,-3390.199
2026-03-09,77259.1601
2026-03-10,54561.0037
2026-03-11,55147.0669
2026-03-12,274170.5773
2026-03-13,163262.2372
2026-03-16,76112.1409
2026-03-17,141886.4971
2026-03-18,37476.0615
2026-03-19,38063.2055
2026-03-20,71121.8569
2026-03-23,31921.6515
2026-03-24,56513.3922
2026-03-25,61189.1924
2026-03-26,2985546.9106
2026-03-27,2080108.0511
2026-03-30,495860.3803
2026-03-31,165003.7628
2026-04-01,471085.3317
2026-04-02,143283.9211
2026-04-03,971488.403
2026-04-05,-38969.7387
2026-04-06,-16895.3939
2026-04-07,1936102.2344
2026-04-08,825869.8128
2026-04-09,866470.6609
2026-04-10,458715.4789
2026-04-12,-57213.3529
2026-04-13,1079536.4293
2026-04-14,4244493.7594
2026-04-15,2895795.9192
2026-04-16,568416.1017
2026-04-17,833576.5284
2026-04-20,902633.3509
