instrument,entry_time,exit_time,direction,entry_price,exit_price,sl_price,units,risk_gbp,pnl,exit_reason,equity_after
GBP_USD,2026-01-05 03:00:00+00:00,2026-01-05 13:00:00+00:00,LONG,1.34158,1.34271,1.34271,176991,200.0,156.2499,TRAIL_SL,100156.2499
USD_JPY,2026-01-05 03:00:00+00:00,2026-01-05 08:00:00+00:00,SHORT,157.234,156.833,157.16764,607517,200.3125,1213.5436,EXIT_MODEL,101369.7935
AUD_USD,2026-01-05 04:00:00+00:00,2026-01-05 16:00:00+00:00,LONG,0.66716,0.67172,0.66973,78887,202.7396,281.0349,EXIT_MODEL,101650.8284
DE30_EUR,2026-01-05 06:00:00+00:00,2026-01-05 08:00:00+00:00,LONG,24683.2,24696.2665,24696.2665,18,203.3017,201.0231,TRAIL_SL,101851.8515
USD_CHF,2026-01-05 09:00:00+00:00,2026-01-05 18:00:00+00:00,SHORT,0.7964,0.79168,0.79471,122872,203.7037,572.3152,EXIT_MODEL,102424.1667
SPX500_USD,2026-01-05 12:00:00+00:00,2026-01-05 16:00:00+00:00,LONG,6885.4,6924.2,6893.95889,31,204.8483,939.6875,EXIT_MODEL,103363.8542
EUR_USD,2026-01-05 13:00:00+00:00,2026-01-05 18:00:00+00:00,LONG,1.16746,1.17251,1.16895,138743,206.7277,547.3845,EXIT_MODEL,103911.2387
NAS100_USD,2026-01-05 15:00:00+00:00,2026-01-05 20:00:00+00:00,SHORT,25503.0,25434.4,25604.9035,3,207.8225,160.7812,EOD,104072.0199
AUD_USD,2026-01-06 00:00:00+00:00,2026-01-06 06:00:00+00:00,LONG,0.67102,0.67368,0.67206,200138,208.144,415.9118,EXIT_MODEL,104487.9317
USD_CHF,2026-01-06 02:00:00+00:00,2026-01-06 15:00:00+00:00,LONG,0.7908,0.79486,0.79203,171976,208.9759,686.2672,EXIT_MODEL,105174.1989
GBP_USD,2026-01-06 03:00:00+00:00,2026-01-06 15:00:00+00:00,SHORT,1.3559,1.35077,1.35434,134839,210.3484,540.4094,EXIT_MODEL,105714.6083
EUR_USD,2026-01-06 06:00:00+00:00,2026-01-06 15:00:00+00:00,SHORT,1.17362,1.16953,1.17251,190477,211.4292,608.6335,EXIT_MODEL,106323.2418
DE30_EUR,2026-01-06 08:00:00+00:00,2026-01-06 15:00:00+00:00,LONG,24901.5,24914.0,24829.07172,3,212.6465,32.0513,EOD,106355.2931
NAS100_USD,2026-01-06 10:00:00+00:00,2026-01-06 14:00:00+00:00,LONG,25439.6,25452.33374,25452.33374,21,212.7106,208.9129,TRAIL_SL,106564.206
SPX500_USD,2026-01-06 11:00:00+00:00,2026-01-06 14:00:00+00:00,LONG,6905.6,6909.7237,6909.7237,66,213.1284,212.6283,TRAIL_SL,106776.8343
AUD_USD,2026-01-07 00:00:00+00:00,2026-01-07 04:00:00+00:00,LONG,0.67345,0.67599,0.67419,288586,213.5537,572.6628,EXIT_MODEL,107349.4971
USD_JPY,2026-01-07 01:00:00+00:00,2026-01-07 05:00:00+00:00,SHORT,156.72,156.387,156.70729,3388589,214.699,5637.0581,EXIT_MODEL,112986.5552
GBP_USD,2026-01-07 02:00:00+00:00,2026-01-08 01:00:00+00:00,SHORT,1.35104,1.34558,1.34875,98678,225.9731,420.9233,EXIT_MODEL,113407.4785
USD_CHF,2026-01-07 03:00:00+00:00,2026-01-07 18:00:00+00:00,LONG,0.79486,0.7976,0.79517,744407,226.815,1997.8639,EXIT_MODEL,115405.3424
EUR_USD,2026-01-07 03:00:00+00:00,2026-01-08 03:00:00+00:00,SHORT,1.16986,1.168,1.17134,155953,230.8107,226.6192,MAX_BARS,115631.9616
DE30_EUR,2026-01-07 04:00:00+00:00,2026-01-07 13:00:00+00:00,LONG,25002.0,25118.0,25018.3663,17,231.2639,1685.4701,EXIT_MODEL,117317.4317
NAS100_USD,2026-01-07 09:00:00+00:00,2026-01-07 16:00:00+00:00,LONG,25602.0,25820.5,25701.40897,3,234.6349,512.1094,EXIT_MODEL,117829.5411
SPX500_USD,2026-01-07 16:00:00+00:00,2026-01-07 20:00:00+00:00,SHORT,6968.6,6929.6,6955.294,23,235.6591,700.7812,EOD,118530.3223
AUD_USD,2026-01-08 00:00:00+00:00,2026-01-08 14:00:00+00:00,SHORT,0.672,0.66904,0.6706,169329,237.0606,391.5733,EXIT_MODEL,118921.8956
GBP_USD,2026-01-08 03:00:00+00:00,2026-01-08 13:00:00+00:00,SHORT,1.34636,1.34234,1.34496,169888,237.8438,533.5545,EXIT_MODEL,119455.4501
USD_CHF,2026-01-08 03:00:00+00:00,2026-01-08 18:00:00+00:00,LONG,0.79726,0.79987,0.79776,487614,238.9109,1243.0463,EXIT_MODEL,120698.4964
DE30_EUR,2026-01-08 04:00:00+00:00,2026-01-08 06:00:00+00:00,LONG,25125.6,25062.51012,25062.51012,4,241.397,-215.6919,SL,120482.8045
