date,pnl
2026-01-05,3045.4876
2026-01-06,2286.3897
2026-01-07,8788.5589
2026-01-08,3648.5041
2026-01-09,849.5715
2026-01-12,5482.9295
2026-01-13,2104.9772
2026-01-14,6635.3242
2026-01-15,2204.8123
2026-01-16,7417.5875
2026-01-18,382.5786
2026-01-19,986.1129
2026-01-20,1069.7813
2026-01-21,4601.1613
2026-01-22,3162.9515
2026-01-23,2828.2436
2026-01-26,21401.0432
2026-01-27,3145.0183
2026-01-28,1549.2285
2026-01-29,3086.5426
2026-01-30,8724.7061
2026-02-02,8548.1903
2026-02-03,47883.8585
2026-02-04,14247.843
2026-02-05,30857.0357
2026-02-06,97590.0815
2026-02-09,11078.0727
2026-02-10,7448.9028
2026-02-11,5157.4088
2026-02-12,22914.897
2026-02-13,11301.1463
2026-02-16,4126.8539
2026-02-17,30295.0734
2026-02-18,15005.6369
2026-02-19,32431.4009
2026-02-20,7335.4185
2026-02-22,1923.4172
2026-02-23,6700.2083
2026-02-24,9178.0692
2026-02-25,19764.7459
2026-02-26,113631.0047
2026-02-27,22902.214
2026-03-01,1433.7258
2026-03-02,9926.2993
2026-03-03,32776.8363
2026-03-04,4801.6567
2026-03-05,32518.6963
2026-03-06,54070.4772
2026-03-08,-1694.8716
2026-03-09,29219.8378
2026-03-10,9255.6587
2026-03-11,13016.4273
2026-03-12,14140.2211
2026-03-13,36158.9891
2026-03-16,28334.5111
2026-03-17,41883.0642
2026-03-18,9382.7631
2026-03-19,9918.5015
2026-03-20,14106.367
2026-03-23,7261.7207
2026-03-24,17278.3225
2026-03-25,16720.2104
2026-03-26,1044496.6978
2026-03-27,755484.6371
2026-03-30,135217.4136
2026-03-31,26921.6133
2026-04-01,73063.0291
2026-04-02,37464.2883
2026-04-03,335861.0944
2026-04-05,-253.1054
2026-04-06,-1590.5078
2026-04-07,50770.2029
2026-04-08,226265.9879
2026-04-09,180693.8241
2026-04-10,124304.957
2026-04-12,-16476.4641
2026-04-13,248953.9649
2026-04-14,120382.6685
2026-04-15,608418.9848
2026-04-16,55828.8313
2026-04-17,122358.8388
2026-04-20,192203.283
