instrument,entry_time,exit_time,direction,entry_price,exit_price,sl_price,units,risk_gbp,pnl,exit_reason,equity_after
GBP_USD,2026-01-05 03:00:00+00:00,2026-01-05 13:00:00+00:00,LONG,1.34158,1.34271,1.34271,176991,200.0,156.2499,TRAIL_SL,100156.2499
USD_JPY,2026-01-05 03:00:00+00:00,2026-01-05 08:00:00+00:00,SHORT,157.234,156.833,157.16764,607517,200.3125,1213.5436,EXIT_MODEL,101369.7935
AUD_USD,2026-01-05 04:00:00+00:00,2026-01-05 16:00:00+00:00,LONG,0.66716,0.67172,0.66973,78887,202.7396,281.0349,EXIT_MODEL,101650.8284
DE30_EUR,2026-01-05 06:00:00+00:00,2026-01-05 08:00:00+00:00,LONG,24683.2,24696.2665,24696.2665,2,203.3017,22.3359,TRAIL_SL,101673.1643
USD_CHF,2026-01-05 09:00:00+00:00,2026-01-05 18:00:00+00:00,SHORT,0.7964,0.79168,0.79471,122657,203.3463,571.3138,EXIT_MODEL,102244.4781
SPX500_USD,2026-01-05 12:00:00+00:00,2026-01-05 16:00:00+00:00,LONG,6885.4,6924.2,6893.95889,5,204.489,151.5625,EXIT_MODEL,102396.0406
EUR_USD,2026-01-05 13:00:00+00:00,2026-01-05 18:00:00+00:00,LONG,1.16746,1.17251,1.16895,137444,204.7921,542.2595,EXIT_MODEL,102938.3001
NAS100_USD,2026-01-05 15:00:00+00:00,2026-01-05 20:00:00+00:00,SHORT,25503.0,25434.4,25604.9035,2,205.8766,107.1875,EOD,103045.4876
AUD_USD,2026-01-06 00:00:00+00:00,2026-01-06 06:00:00+00:00,LONG,0.67102,0.67368,0.67206,198164,206.091,411.8096,EXIT_MODEL,103457.2972
USD_CHF,2026-01-06 02:00:00+00:00,2026-01-06 15:00:00+00:00,LONG,0.7908,0.79486,0.79203,170280,206.9146,679.4994,EXIT_MODEL,104136.7966
GBP_USD,2026-01-06 03:00:00+00:00,2026-01-06 15:00:00+00:00,SHORT,1.3559,1.35077,1.35434,133509,208.2736,535.079,EXIT_MODEL,104671.8756
EUR_USD,2026-01-06 06:00:00+00:00,2026-01-06 15:00:00+00:00,SHORT,1.17362,1.16953,1.17251,188598,209.3438,602.6295,EXIT_MODEL,105274.5051
DE30_EUR,2026-01-06 08:00:00+00:00,2026-01-06 15:00:00+00:00,LONG,24901.5,24914.0,24829.07172,2,210.549,21.3675,EOD,105295.8726
NAS100_USD,2026-01-06 10:00:00+00:00,2026-01-06 14:00:00+00:00,LONG,25439.6,25452.33374,25452.33374,2,210.5917,19.8965,TRAIL_SL,105315.7691
SPX500_USD,2026-01-06 11:00:00+00:00,2026-01-06 14:00:00+00:00,LONG,6905.6,6909.7237,6909.7237,5,210.6315,16.1082,TRAIL_SL,105331.8773
AUD_USD,2026-01-07 00:00:00+00:00,2026-01-07 04:00:00+00:00,LONG,0.67345,0.67599,0.67419,284681,210.6638,564.9139,EXIT_MODEL,105896.7912
USD_JPY,2026-01-07 01:00:00+00:00,2026-01-07 05:00:00+00:00,SHORT,156.72,156.387,156.70729,3342733,211.7936,5560.7748,EXIT_MODEL,111457.566
GBP_USD,2026-01-07 02:00:00+00:00,2026-01-08 01:00:00+00:00,SHORT,1.35104,1.34558,1.34875,97343,222.9151,415.2287,EXIT_MODEL,111872.7947
USD_CHF,2026-01-07 03:00:00+00:00,2026-01-07 18:00:00+00:00,LONG,0.79486,0.7976,0.79517,734334,223.7456,1970.8296,EXIT_MODEL,113843.6243
EUR_USD,2026-01-07 03:00:00+00:00,2026-01-08 03:00:00+00:00,SHORT,1.16986,1.168,1.17134,153843,227.6872,223.5531,MAX_BARS,114067.1774
DE30_EUR,2026-01-07 04:00:00+00:00,2026-01-07 13:00:00+00:00,LONG,25002.0,25118.0,25018.3663,2,228.1344,198.2906,EXIT_MODEL,114265.468
NAS100_USD,2026-01-07 09:00:00+00:00,2026-01-07 16:00:00+00:00,LONG,25602.0,25820.5,25701.40897,2,228.5309,341.4062,EXIT_MODEL,114606.8742
SPX500_USD,2026-01-07 16:00:00+00:00,2026-01-07 20:00:00+00:00,SHORT,6968.6,6929.6,6955.294,5,229.2137,152.3438,EOD,114759.218
AUD_USD,2026-01-08 00:00:00+00:00,2026-01-08 14:00:00+00:00,SHORT,0.672,0.66904,0.6706,163942,229.5184,379.1159,EXIT_MODEL,115138.3339
GBP_USD,2026-01-08 03:00:00+00:00,2026-01-08 13:00:00+00:00,SHORT,1.34636,1.34234,1.34496,164483,230.2767,516.5794,EXIT_MODEL,115654.9133
USD_CHF,2026-01-08 03:00:00+00:00,2026-01-08 18:00:00+00:00,LONG,0.79726,0.79987,0.79776,472100,231.3098,1203.4973,EXIT_MODEL,116858.4106
DE30_EUR,2026-01-08 04:00:00+00:00,2026-01-08 06:00:00+00:00,LONG,25125.6,25062.51012,25062.51012,2,233.7168,-107.8459,SL,116750.5647
