scenario,instrument,trades,win_rate,total_pnl,avg_risk,max_loss,max_win
A,AUD_USD,73,94.5,17992.02,150.0,-117.19,2101.56
A,DE30_EUR,72,79.2,53053.71,150.0,-150.0,17029.74
A,EUR_USD,66,87.9,53327.8,150.0,-117.19,23789.06
A,GBP_USD,74,85.1,38021.52,150.0,-117.19,12451.17
A,NAS100_USD,74,87.8,22228.24,150.0,-150.0,2756.25
A,SPX500_USD,69,91.3,49183.96,150.0,-150.0,12871.41
A,USD_CHF,79,88.6,122203.9,150.0,-150.0,65781.61
A,USD_JPY,80,87.5,87678.19,150.0,-150.0,13330.46
B,AUD_USD,73,94.5,17992.02,150.0,-117.19,2101.56
B,DE30_EUR,72,79.2,13798.04,150.0,-150.0,808.55
B,EUR_USD,66,87.9,53327.8,150.0,-117.19,23789.06
B,GBP_USD,74,85.1,38021.52,150.0,-117.19,12451.17
B,NAS100_USD,74,87.8,14970.06,150.0,-150.0,616.88
B,SPX500_USD,69,91.3,9925.19,150.0,-98.52,467.97
B,USD_CHF,79,88.6,122203.9,150.0,-150.0,65781.61
B,USD_JPY,80,87.5,87678.19,150.0,-150.0,13330.46
C,AUD_USD,73,94.5,23989.37,200.0,-156.25,2802.08
C,DE30_EUR,72,79.2,70428.93,200.0,-200.0,22655.64
C,EUR_USD,66,87.9,71103.72,200.0,-156.25,31718.75
C,GBP_USD,74,85.1,50695.37,200.0,-156.25,16601.56
C,NAS100_USD,74,87.8,32156.71,200.0,-200.0,3675.0
C,SPX500_USD,69,91.3,65569.62,200.0,-200.0,17161.88
C,USD_CHF,79,88.6,162938.52,200.0,-200.0,87708.82
C,USD_JPY,80,87.5,116904.24,200.0,-200.0,17773.95
D,AUD_USD,73,94.5,23989.37,200.0,-156.25,2802.08
D,DE30_EUR,72,79.2,14415.8,200.0,-200.0,808.55
D,EUR_USD,66,87.9,71103.72,200.0,-156.25,31718.75
D,GBP_USD,74,85.1,50695.37,200.0,-156.25,16601.56
D,NAS100_USD,74,87.8,18747.59,200.0,-200.0,843.12
D,SPX500_USD,69,91.3,10152.74,200.0,-98.52,528.91
D,USD_CHF,79,88.6,162938.52,200.0,-200.0,87708.82
D,USD_JPY,80,87.5,116904.24,200.0,-200.0,17773.95
