date,pnl
2026-01-05,2971.7131
2026-01-06,1931.4971
2026-01-07,7520.4011
2026-01-08,2531.4756
2026-01-09,1558.6795
2026-01-12,3843.8412
2026-01-13,5135.2423
2026-01-14,4979.5667
2026-01-15,1502.9494
2026-01-16,7987.1539
2026-01-18,201.5623
2026-01-19,517.9416
2026-01-20,534.4493
2026-01-21,2398.901
2026-01-22,1627.6776
2026-01-23,1981.6422
2026-01-26,12573.6724
2026-01-27,1507.9371
2026-01-28,1446.7815
2026-01-29,1520.0217
2026-01-30,3452.0096
2026-02-02,4018.3241
2026-02-03,17858.0934
2026-02-04,7531.3842
2026-02-05,10097.2081
2026-02-06,24248.2469
2026-02-09,5638.8431
2026-02-10,1801.8692
2026-02-11,4537.0003
2026-02-12,4623.2999
2026-02-13,1972.2854
2026-02-16,966.5103
2026-02-17,4819.6763
2026-02-18,2994.9275
2026-02-19,9921.3203
2026-02-20,1117.009
2026-02-22,267.259
2026-02-23,1715.6584
2026-02-24,4275.1361
2026-02-25,3536.5889
2026-02-26,15299.9009
2026-02-27,2547.6797
2026-03-01,149.9239
2026-03-02,2475.5316
2026-03-03,4793.3523
2026-03-04,2172.4885
2026-03-05,3775.439
2026-03-06,6283.1221
2026-03-08,-149.6793
2026-03-09,3488.192
2026-03-10,2401.3807
2026-03-11,2189.8299
2026-03-12,10275.6669
2026-03-13,5672.8311
2026-03-16,2518.7975
2026-03-17,4486.9267
2026-03-18,1014.8928
2026-03-19,1054.5835
2026-03-20,1907.3663
2026-03-23,1019.8466
2026-03-24,1593.5183
2026-03-25,995.0458
2026-03-26,72250.4962
2026-03-27,27076.5479
2026-03-30,4672.3802
2026-03-31,1478.6029
2026-04-01,3897.5459
2026-04-02,1192.2497
2026-04-03,7800.1232
2026-04-05,-300.0
2026-04-06,-110.3397
2026-04-07,14106.4522
2026-04-08,5069.2836
2026-04-09,4840.643
2026-04-10,2502.8922
2026-04-12,-299.4304
2026-04-13,5403.7358
2026-04-14,20074.4298
2026-04-15,11005.1895
2026-04-16,1914.8713
2026-04-17,2688.7412
2026-04-20,2792.531
