date,pnl
2026-01-05,2333.5532
2026-01-06,1666.8612
2026-01-07,6353.8747
2026-01-08,2359.6307
2026-01-09,641.8405
2026-01-12,3720.8151
2026-01-13,1225.4751
2026-01-14,4045.1241
2026-01-15,1401.5239
2026-01-16,4340.339
2026-01-18,201.5623
2026-01-19,517.9416
2026-01-20,600.024
2026-01-21,2319.5537
2026-01-22,1600.4901
2026-01-23,1699.9235
2026-01-26,10382.4224
2026-01-27,1374.0181
2026-01-28,985.1408
2026-01-29,1440.5759
2026-01-30,3452.0096
2026-02-02,4018.3241
2026-02-03,17586.2184
2026-02-04,4618.5717
2026-02-05,9639.0831
2026-02-06,23001.6657
2026-02-09,2992.4743
2026-02-10,1685.8535
2026-02-11,1352.1583
2026-02-12,4569.1402
2026-02-13,1949.3167
2026-02-16,966.5103
2026-02-17,4734.2988
2026-02-18,2498.1487
2026-02-19,5513.9651
2026-02-20,1060.2959
2026-02-22,267.259
2026-02-23,1106.8277
2026-02-24,1246.6175
2026-02-25,3088.4639
2026-02-26,14864.3202
2026-02-27,2465.8828
2026-03-01,149.9239
2026-03-02,1668.694
2026-03-03,4111.321
2026-03-04,1543.4286
2026-03-05,3382.1578
2026-03-06,6283.1221
2026-03-08,-149.6793
2026-03-09,3488.192
2026-03-10,1592.8337
2026-03-11,1836.4044
2026-03-12,2455.5348
2026-03-13,3577.5967
2026-03-16,2510.2038
2026-03-17,4423.0985
2026-03-18,939.4543
2026-03-19,1046.7709
2026-03-20,1426.7413
2026-03-23,1019.8466
2026-03-24,1593.5183
2026-03-25,971.452
2026-03-26,70227.0587
2026-03-27,26932.0166
2026-03-30,4672.3802
2026-03-31,1241.4154
2026-04-01,2461.5283
2026-04-02,1192.2497
2026-04-03,7800.1232
2026-04-05,-248.5245
2026-04-06,-56.2711
2026-04-07,1499.8897
2026-04-08,5050.8461
2026-04-09,4227.4398
2026-04-10,2450.5484
2026-04-12,-299.4304
2026-04-13,5161.5483
2026-04-14,2902.9295
2026-04-15,10771.2833
2026-04-16,1116.9808
2026-04-17,2261.4695
2026-04-20,2792.531
