date,pnl
2026-01-05,4007.7974
2026-01-06,2576.7403
2026-01-07,10028.1638
2026-01-08,3381.9129
2026-01-09,2016.5751
2026-01-12,5244.3195
2026-01-13,6846.9868
2026-01-14,6609.5292
2026-01-15,1927.3654
2026-01-16,10649.5377
2026-01-18,268.7496
2026-01-19,693.7328
2026-01-20,763.1606
2026-01-21,3240.8781
2026-01-22,2234.1698
2026-01-23,2659.3864
2026-01-26,16847.5215
2026-01-27,2010.5768
2026-01-28,2124.8571
2026-01-29,2045.7559
2026-01-30,4710.4138
2026-02-02,5390.4136
2026-02-03,23698.1856
2026-02-04,10219.7554
2026-02-05,13592.9469
2026-02-06,32247.8925
2026-02-09,7766.9052
2026-02-10,2461.816
2026-02-11,6029.1858
2026-02-12,6323.3877
2026-02-13,2544.3788
2026-02-16,1285.7724
2026-02-17,6443.2459
2026-02-18,4059.3519
2026-02-19,13343.2764
2026-02-20,1558.66
2026-02-22,356.3453
2026-02-23,2128.9074
2026-02-24,5780.9413
2026-02-25,4780.4207
2026-02-26,20358.5516
2026-02-27,3357.9087
2026-03-01,199.8983
2026-03-02,3528.0022
2026-03-03,6450.7157
2026-03-04,3363.2169
2026-03-05,5070.2023
2026-03-06,7983.289
2026-03-08,-199.5729
2026-03-09,4498.3624
2026-03-10,3089.7868
2026-03-11,2944.7699
2026-03-12,13925.7691
2026-03-13,7483.9606
2026-03-16,3215.7509
2026-03-17,5635.0994
2026-03-18,1490.1472
2026-03-19,1644.9227
2026-03-20,2766.1122
2026-03-23,1333.8857
2026-03-24,2022.2385
2026-03-25,1363.2309
2026-03-26,96526.6124
2026-03-27,35897.7087
2026-03-30,6142.8383
2026-03-31,1851.6149
2026-04-01,5448.243
2026-04-02,1558.7726
2026-04-03,10400.1679
2026-04-05,-397.0489
2026-04-06,-163.1486
2026-04-07,18975.722
2026-04-08,6804.1602
2026-04-09,6694.093
2026-04-10,3326.8228
2026-04-12,-399.2393
2026-04-13,7478.6517
2026-04-14,26777.1491
2026-04-15,14576.4192
2026-04-16,2552.5187
2026-04-17,3544.7445
2026-04-20,3763.5153
