instrument,entry_time,exit_time,direction,entry_price,exit_price,sl_price,units,risk_gbp,pnl,exit_reason,equity_after
GBP_USD,2026-01-05 03:00:00+00:00,2026-01-05 13:00:00+00:00,LONG,1.34158,1.34271,1.34271,176991,200.0,156.2499,TRAIL_SL,100156.2499
USD_JPY,2026-01-05 03:00:00+00:00,2026-01-05 08:00:00+00:00,SHORT,157.234,156.833,157.16764,606569,200.0,1211.6499,EXIT_MODEL,101367.8998
AUD_USD,2026-01-05 04:00:00+00:00,2026-01-05 16:00:00+00:00,LONG,0.66716,0.67172,0.66973,77821,200.0,277.2373,EXIT_MODEL,101645.1371
DE30_EUR,2026-01-05 06:00:00+00:00,2026-01-05 08:00:00+00:00,LONG,24683.2,24696.2665,24696.2665,18,200.0,201.0231,TRAIL_SL,101846.1602
USD_CHF,2026-01-05 09:00:00+00:00,2026-01-05 18:00:00+00:00,SHORT,0.7964,0.79168,0.79471,120638,200.0,561.9096,EXIT_MODEL,102408.0698
SPX500_USD,2026-01-05 12:00:00+00:00,2026-01-05 16:00:00+00:00,LONG,6885.4,6924.2,6893.95889,30,200.0,909.375,EXIT_MODEL,103317.4448
EUR_USD,2026-01-05 13:00:00+00:00,2026-01-05 18:00:00+00:00,LONG,1.16746,1.17251,1.16895,134228,200.0,529.5714,EXIT_MODEL,103847.0162
NAS100_USD,2026-01-05 15:00:00+00:00,2026-01-05 20:00:00+00:00,SHORT,25503.0,25434.4,25604.9035,3,200.0,160.7812,EOD,104007.7974
AUD_USD,2026-01-06 00:00:00+00:00,2026-01-06 06:00:00+00:00,LONG,0.67102,0.67368,0.67206,192308,200.0,399.6401,EXIT_MODEL,104407.4375
USD_CHF,2026-01-06 02:00:00+00:00,2026-01-06 15:00:00+00:00,LONG,0.7908,0.79486,0.79203,164589,200.0,656.7895,EXIT_MODEL,105064.227
GBP_USD,2026-01-06 03:00:00+00:00,2026-01-06 15:00:00+00:00,SHORT,1.3559,1.35077,1.35434,128205,200.0,513.8216,EXIT_MODEL,105578.0486
EUR_USD,2026-01-06 06:00:00+00:00,2026-01-06 15:00:00+00:00,SHORT,1.17362,1.16953,1.17251,180180,200.0,575.7314,EXIT_MODEL,106153.78
DE30_EUR,2026-01-06 08:00:00+00:00,2026-01-06 15:00:00+00:00,LONG,24901.5,24914.0,24829.07172,3,200.0,32.0513,EOD,106185.8313
NAS100_USD,2026-01-06 10:00:00+00:00,2026-01-06 14:00:00+00:00,LONG,25439.6,25452.33374,25452.33374,20,200.0,198.9647,TRAIL_SL,106384.796
SPX500_USD,2026-01-06 11:00:00+00:00,2026-01-06 14:00:00+00:00,LONG,6905.6,6909.7237,6909.7237,62,200.0,199.7417,TRAIL_SL,106584.5377
AUD_USD,2026-01-07 00:00:00+00:00,2026-01-07 04:00:00+00:00,LONG,0.67345,0.67599,0.67419,270270,200.0,536.317,EXIT_MODEL,107120.8547
USD_JPY,2026-01-07 01:00:00+00:00,2026-01-07 05:00:00+00:00,SHORT,156.72,156.387,156.70729,3156595,200.0,5251.1265,EXIT_MODEL,112371.9812
GBP_USD,2026-01-07 02:00:00+00:00,2026-01-08 01:00:00+00:00,SHORT,1.35104,1.34558,1.34875,87336,200.0,372.5426,EXIT_MODEL,112744.5238
USD_CHF,2026-01-07 03:00:00+00:00,2026-01-07 18:00:00+00:00,LONG,0.79486,0.7976,0.79517,656401,200.0,1761.6705,EXIT_MODEL,114506.1943
EUR_USD,2026-01-07 03:00:00+00:00,2026-01-08 03:00:00+00:00,SHORT,1.16986,1.168,1.17134,135135,200.0,196.368,MAX_BARS,114702.5623
