date,pnl
2026-01-05,3017.704
2026-01-06,2203.3548
2026-01-07,8241.1546
2026-01-08,3160.8604
2026-01-09,762.7083
2026-01-12,4705.1162
2026-01-13,1661.6312
2026-01-14,5261.5343
2026-01-15,1746.9361
2026-01-16,5610.7456
2026-01-18,268.7496
2026-01-19,690.4515
2026-01-20,878.7353
2026-01-21,3108.6326
2026-01-22,2179.7948
2026-01-23,2058.8576
2026-01-26,13536.3236
2026-01-27,1803.8613
2026-01-28,1119.0402
2026-01-29,1913.3463
2026-01-30,4710.4138
2026-02-02,5296.8198
2026-02-03,23170.072
2026-02-04,6261.3179
2026-02-05,12361.5114
2026-02-06,30502.6788
2026-02-09,3620.6285
2026-02-10,2121.4267
2026-02-11,1634.2286
2026-02-12,6019.8546
2026-02-13,2498.4413
2026-02-16,1176.3707
2026-02-17,6355.9576
2026-02-18,3231.3872
2026-02-19,7063.8787
2026-02-20,1505.327
2026-02-22,356.3453
2026-02-23,1406.7106
2026-02-24,1657.942
2026-02-25,3950.6682
2026-02-26,19696.284
2026-02-27,3284.0336
2026-03-01,199.8983
2026-03-02,2317.7458
2026-03-03,5389.7781
2026-03-04,2068.8472
2026-03-05,4480.2805
2026-03-06,7903.4452
2026-03-08,-199.5729
2026-03-09,4392.5812
2026-03-10,1859.4663
2026-03-11,2215.2627
2026-03-12,2807.2174
2026-03-13,4459.9762
2026-03-16,3189.9697
2026-03-17,5443.615
2026-03-18,1369.4457
2026-03-19,1629.2977
2026-03-20,2045.1747
2026-03-23,1333.8857
2026-03-24,2022.2385
2026-03-25,1316.0434
2026-03-26,93438.1749
2026-03-27,35533.8271
2026-03-30,5816.3426
2026-03-31,1456.3024
2026-04-01,3139.6773
2026-04-02,1522.5826
2026-04-03,10400.1679
2026-04-05,-253.1054
2026-04-06,-67.2173
2026-04-07,2078.6908
2026-04-08,6748.8477
2026-04-09,5410.4992
2026-04-10,3198.0728
2026-04-12,-399.2393
2026-04-13,7091.1517
2026-04-14,3588.1889
2026-04-15,14184.876
2026-04-16,1392.1591
2026-04-17,2854.8355
2026-04-20,3756.0935
